Source,Target,Count
NEW_694AB9CF7DE1,NEW_THECRAGANDCANYON CA:443 NEWS,1
HMC,NEW_NEWS HALTON POLICE,1
NEW_COMBANK,NEW_DMC,1
F,NEW_B4100CEDEB53,1
NEW_ALGERIA NATIONAL NEWS MILL0LMZ MANSOURI,NEW_PAN AFRICAN PARLIAMENT,1
HMC,NEW_LANGLEY,1
NEW_EU SUMMIT ZELENSKYY,NEW_UKRAINE RUSSIA DRONE,1
NEW_KENTUCKY AG,NEW_KENTUCKY CAPITOL,1
NEW_AFRICAN DEVELOPMENT BANK,NEW_APO,1
NEW_AFRICAN DEVELOPMENT BANK,NEW_SOUTHERN AFRICA DEVELOPMENT COMMUNITY,1
NEW_APO,NEW_SOUTHERN AFRICA DEVELOPMENT COMMUNITY,1
NEW_SUDANS SOVEREIGNTY COUNCIL,NEW_UN,1
NEW_FEMA,NEW_NEVADA AG,1
F,NEW_SIEMENS HEALTHINEERS,1
NEW_EEF8,NEW_KDHNEWS COM NEWS LOCAL,1
F,NEW_BAE3,1
NEW_CM ARTICLE HTML,NEW_SUPREME COURT,1
NEW_HYUNDAI,NEW_KIA,1
NEW_HIGH COURT,NEW_NPP,1
HMC,TSLA,1
NEW_TOYOTA,TSLA,1
NEW_CMS,NEW_INDIA EVENING NEWS WRAP INDIA,1
NEW_BROOKFIELD ASSET MANAGEMENT LTD BAM,NEW_GENERAL GROUP PLC,1
NEW_GENERAL MILLS INC GIS,NEW_TOTH FINANCIAL ADVISORY CORP HTML,1
NEW_INDIA NEWS SUPREME COURT,NEW_PLEATO SCRUTINISE CIC,1
F,NEW_FORD MOTOR COMPANY,1
NEW_FBI BADGE,NEW_IGP,1
NEW_FBI BADGE,NEW_NEWSARCHIVE,1
NEW_IGP,NEW_NEWSARCHIVE,1
F,NEW_7E7E 4511,1
HMC,NEW_VOLKSWAGEN,1
NEW_GOODEN,NEW_U S CONGRESSMAN,1
F,NEW_ICPC,1
F,NEW_WATERFORD NEWS IE NEWS COLLEGE,1
F,NEW_WATERFORD NEWS IE NEWS HEALTH,1
NEW_EGYPT FOREIGN AFFAIRS,NEW_NEWSCONTENT,1
NEW_ASIAN DEVELOPMENT BANK,NEW_DUNYANEWS TV EN,1
NEW_COOPERATIVES,NEW_THENEWS COOP,1
NEW_ACLU,NEW_WVTF ORG NEWS,1
NEW_AG,NEW_JNS KNESSET BILL,1
NEW_FBI,NEW_MAXWELL CONGRESS,1
NEW_MISSOURI AG,NEW_YAHOO,1
NEW_ASIAN DEVELOPMENT BANK,NEW_CMS,1
F,NEW_ALBANY AVENUE OFFICE,1
F,NEW_HARTFORD OKS DEMOLITION,1
NEW_ALBANY AVENUE OFFICE,NEW_HARTFORD OKS DEMOLITION,1
F,NEW_WATERFORD NEWS IE NEWS CENTURY OLD,1
F,NEW_GOP,1
NEW_SHEILA CHERFILUS MCCORMICK,NEW_UK NEWS,1
F,NEW_BFB5,1
NEW_EU CANADA,NEW_NEWKERALA COM NEWS,1
NEW_EUROPEAN UNION,NEW_UNITED STATES,1
F,NEW_HARTFORD,1
NEW_FORD,TSLA,1
F,NEW_UK TVSHOWBIZ ARTICLE,1
HMC,NEW_KENS5,1
F,TM,1
NEW_HARTFORD CONNECTICUT,TM,1
NEW_UK NEWS,TM,1
NEW_5AA8,NEW_CHRISTIES,1
NEW_DETAIL,NEW_IRGC,1
NEW_DEFENSE COUNCIL,NEW_IRGC,1
NEW_EU LEADERS PRESS BELGIUM,NEW_YAHOO,1
NEW_FBI,NEW_NEWS18,1
NEW_DEFENSE COUNCIL,NEW_DETAIL,1
NEW_AASLG6F,NEW_CLEVELAND POLICE,1
NEW_BBC WEEK,NEW_UK NEWS TV,1
